ticker,industry,index
ALKS,Pharmaceuticals,DJUSPR
HRMY,Pharmaceuticals,DJUSPR
FOLD,Pharmaceuticals,DJUSPR
BRBR,Pharmaceuticals,DJUSPR
NTLA,Pharmaceuticals,DJUSPR
RARE,Pharmaceuticals,DJUSPR
PBH,Pharmaceuticals,DJUSPR
ISEE,Pharmaceuticals,DJUSPR
PTCT,Pharmaceuticals,DJUSPR
IBRX,Pharmaceuticals,DJUSPR
INSM,Pharmaceuticals,DJUSPR
ACAD,Pharmaceuticals,DJUSPR
AMLX,Pharmaceuticals,DJUSPR
SAGE,Pharmaceuticals,DJUSPR
XENE,Pharmaceuticals,DJUSPR
CORT,Pharmaceuticals,DJUSPR
AKRO,Pharmaceuticals,DJUSPR
RVMD,Pharmaceuticals,DJUSPR
SUPN,Pharmaceuticals,DJUSPR
IRWD,Pharmaceuticals,DJUSPR
PCRX,Pharmaceuticals,DJUSPR
CPRX,Pharmaceuticals,DJUSPR
RVNC,Pharmaceuticals,DJUSPR
AGIO,Pharmaceuticals,DJUSPR
KDNY,Pharmaceuticals,DJUSPR
CVAC,Pharmaceuticals,DJUSPR
DAWN,Pharmaceuticals,DJUSPR
SWTX,Pharmaceuticals,DJUSPR
AMPH,Pharmaceuticals,DJUSPR
KROS,Pharmaceuticals,DJUSPR
FGEN,Pharmaceuticals,DJUSPR
EQRX,Pharmaceuticals,DJUSPR
RETA,Pharmaceuticals,DJUSPR
MNKD,Pharmaceuticals,DJUSPR
TGTX,Pharmaceuticals,DJUSPR
TVTX,Pharmaceuticals,DJUSPR
ALLO,Pharmaceuticals,DJUSPR
TARO,Pharmaceuticals,DJUSPR
AMZN,Retail,DJUSRT
WMT,Retail,DJUSRT
HD,Retail,DJUSRT
BABA,Retail,DJUSRT
COST,Retail,DJUSRT
CVS,Retail,DJUSRT
LOW,Retail,DJUSRT
PDD,Retail,DJUSRT
TJX,Retail,DJUSRT
TGT,Retail,DJUSRT
DG,Retail,DJUSRT
ORLY,Retail,DJUSRT
AZO,Retail,DJUSRT
MELI,Retail,DJUSRT
LULU,Retail,DJUSRT
ROST,Retail,DJUSRT
WBA,Retail,DJUSRT
KR,Retail,DJUSRT
SE,Retail,DJUSRT
DLTR,Retail,DJUSRT
CPNG,Retail,DJUSRT
EBAY,Retail,DJUSRT
ULTA,Retail,DJUSRT
TSCO,Retail,DJUSRT
CHWY,Retail,DJUSRT
BBY,Retail,DJUSRT
ETSY,Retail,DJUSRT
BURL,Retail,DJUSRT
ACI,Retail,DJUSRT
KMX,Retail,DJUSRT
BLDR,Retail,DJUSRT
FIVE,Retail,DJUSRT
DKS,Retail,DJUSRT
BBWI,Retail,DJUSRT
BJ,Retail,DJUSRT
TPR,Retail,DJUSRT
CASY,Retail,DJUSRT
PAG,Retail,DJUSRT
AAP,Retail,DJUSRT
FND,Retail,DJUSRT
WSM,Retail,DJUSRT
CPRI,Retail,DJUSRT
VIPS,Retail,DJUSRT
GME,Retail,DJUSRT
MUSA,Retail,DJUSRT
RH,Retail,DJUSRT
LAD,Retail,DJUSRT
M,Retail,DJUSRT
AN,Retail,DJUSRT
DDS,Retail,DJUSRT
IAA,Retail,DJUSRT
GPS,Retail,DJUSRT
ASO,Retail,DJUSRT
W,Retail,DJUSRT
ABG,Retail,DJUSRT
CHPT,Retail,DJUSRT
SFM,Retail,DJUSRT
GLBE,Retail,DJUSRT
